78,45,29,2,58
70,46,16,1,58
58,46,25,1,0
60,46,11,1,57
76,48,27,1,58
69,48,12,1,63
59,48,32,4,57
94,49,22,4,60
58,49,31,1,57
95,49,24,4,60
36,48,18,1,62
51,53,27,4,70
53,53,22,4,70
40,54,14,1,0
57,55,10,1,73
92,55,17,2,72
39,55,27,4,68
80,56,19,2,71
43,56,16,4,69
58,57,25,4,73
64,56,27,3,74
73,57,24,4,0
79,57,27,2,71
69,56,13,1,71
56,57,20,4,73
55,57,27,3,73
59,57,26,4,0
80,57,23,1,71
76,57,21,2,0
95,57,21,3,72
44,57,19,4,69
90,57,15,4,72
37,57,26,4,68
97,57,22,2,0
47,57,11,1,69
91,57,17,2,72
93,57,17,2,72
35,57,21,2,68
52,57,29,2,75
31,57,25,4,67
93,61,14,4,85
43,61,26,4,81
95,61,15,4,0
52,61,14,1,82
69,61,26,4,83
91,61,16,4,85
30,61,25,4,79
46,61,23,4,81
77,61,27,1,84
36,62,10,1,0
76,61,22,1,84
74,62,25,1,84
31,61,19,1,79
45,62,10,1,81
56,61,15,4,82
81,62,24,4,86
43,63,26,4,81
76,63,12,1,0
60,62,19,2,82
97,63,18,4,85
35,63,27,3,80
38,62,21,2,80
73,62,19,2,84
86,62,22,2,85
87,62,15,1,85
90,62,15,1,85
78,63,10,1,84
96,63,9,1,85
64,96,25,4,136
56,96,26,4,0
35,96,25,4,132
51,97,25,4,135
55,97,28,4,135
39,98,29,4,132
64,86,28,3,128
45,86,24,3,126
39,87,27,4,125
63,87,20,2,128
47,88,22,4,126
39,88,26,4,125
30,88,24,4,124
47,89,25,4,126
63,89,11,2,128
55,89,24,4,127
51,91,28,3,0
56,91,14,4,0
63,90,26,3,128
64,90,28,2,128
54,91,24,4,0
38,90,23,1,0
31,92,9,1,0
68,93,27,1,0
51,94,25,4,135
30,94,24,4,131
48,94,30,2,0
51,95,25,4,135
53,95,24,4,0
30,96,26,3,131
68,96,13,3,0
35,98,30,4,132
59,99,10,1,0
68,99,25,2,0
34,64,25,4,80
43,64,27,4,0
97,64,9,1,85
39,64,26,4,80
77,64,9,1,84
95,65,9,1,85
47,64,8,1,81
90,65,12,1,85
97,65,10,1,85
48,65,10,1,0
39,65,26,4,80
79,65,14,1,84
74,65,21,2,84
77,66,13,4,0
46,66,13,4,0
94,66,16,4,0
36,65,16,4,80
53,65,19,4,82
59,65,21,4,82
34,65,20,4,80
58,65,17,4,82
68,65,15,4,84
98,66,19,3,0
37,65,27,3,80
96,66,16,4,85
43,66,26,4,0
44,66,26,4,0
54,65,14,3,82
47,66,26,4,81
51,66,20,3,82
89,66,24,3,85
39,66,26,4,80
85,69,18,4,98
63,69,19,2,94
54,70,14,4,94
31,69,14,3,91
